House name`/No,Meter Id,Latitude,Longitude,Zone,Place,0th Hour Units,1st Hour Units,2nd Hour Units,3rd Hour Units,4th Hour Units,5th Hour Units,6th Hour Units,7th Hour Units,8th Hour Units,9th Hour Units,10th Hour Units,11th Hour Units,12th Hour Units,13th Hour Units,14th Hour Units,15th Hour Units,16th Hour Units,17th Hour Units,18th Hour Units,19th Hour Units,20th Hour Units,21st Hour Units,22nd Hour Units,23rd Hour Units
House15,9019,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,3,3,3,3,3,2,15,2,2,2,3,5,2,3,4,4,3,3,2,4,4,2,2
House16,9020,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,3,3,3,3,2,2,13,3,1,2,2,2,2,1,2,3,4,5,4,4,3,4,4
House17,9021,43.64858,-79.41908,Halton Region,"Toronto, Canada",4,2,3,3,3,2,3,3,3,2,2,1,1,1,2,2,3,2,4,4,5,4,3,3
House18,9022,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House19,9023,43.64858,-79.41908,Halton Region,"Toronto, Canada",2,3,3,3,3,3,2,2,12,2,2,1,1,2,2,1,1,2,3,3,3,2,4,4
House20,9024,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,3,3,2,2,4,3,3,2,2,2,3,2,1,1,1,1,1,4,3,5,4,3,3
House21,9025,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,3,3,3,3,2,2,12,3,1,1,1,1,2,1,2,2,4,5,4,4,3,2,2
House22,9026,43.64858,-79.41908,Halton Region,"Toronto, Canada",4,3,3,3,3,3,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House23,9027,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,1,3,2,3,3,2,4,5,3,2,3,3,3
House24,9028,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
House25,9029,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,3,3
House26,9030,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,3,3,3,3,2,2,2,3,1,1,1,1,2,1,2,3,14,5,4,4,3,4,4
House27,9031,43.64858,-79.41908,Halton Region,"Toronto, Canada",4,4,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House28,9032,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,2,3,3,3,3,3,2,2,2,3,2,3,2,3,3,2,4,15,3,2,3,3,3
House29,9033,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,3,3,3,3,2,2,12,3,1,1,1,1,2,1,2,3,4,5,4,4,3,4,4
House30,9034,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,3,3,4,4,3,3,2,2,3,2,2,3,2,3,3,2,4,5,3,2,5,2,2
House31,9035,43.64858,-79.41908,Halton Region,"Toronto, Canada",4,3,3,3,3,2,3,3,3,2,2,1,1,1,2,3,3,2,4,4,5,5,3,3
House32,9036,43.64858,-79.41908,Halton Region,"Toronto, Canada",3,2,3,3,3,3,3,2,4,3,3,1,3,2,3,3,2,4,5,3,2,3,3,3
